            TIME           N2-T2           N2-F2
------------------------------------------------
   +0.000000E+00   +6.749400E+01   +0.000000E+00
   +3.427877E-07   +1.500000E-03   +0.000000E+00
   +5.561970E-06   +4.500002E-03   +0.000000E+00
   +2.658643E-10   +1.411250E+01   +0.000000E+00
   +9.748358E-10   -5.934999E-01   +0.000000E+00
   +2.924507E-09   +1.017900E+01   +0.000000E+00
   +7.621443E-09   +6.750000E-02   +0.000000E+00
   +1.816739E-08   +8.250000E-02   +0.000000E+00
   +4.014551E-08   +9.900000E-02   +0.000000E+00
   +8.303828E-08   +1.170000E-01   +0.000000E+00
   +1.620886E-07   +1.365000E-01   +0.000000E+00
   +3.019332E-07   +1.575000E-01   +0.000000E+00
   +5.397931E-07   +1.800000E-01   +0.000000E+00
   +9.315885E-07   +2.040000E-01   +0.000000E+00
   +1.557876E-06   +2.295000E-01   +0.000000E+00
   +2.534218E-06   +2.565000E-01   +0.000000E+00
   +4.022261E-06   +2.850000E-01   +0.000000E+00
   +6.244266E-06   +3.150000E-01   +0.000000E+00
   +9.502433E-06   +3.465000E-01   +0.000000E+00
   +5.317286E-10   -1.267100E+01   +0.000000E+00
   +1.506564E-09   +9.990000E-01   +0.000000E+00
   +2.481400E-09   +1.054500E+00   +0.000000E+00
   +3.987964E-09   -2.468600E+01   +0.000000E+00
   +6.469365E-09   +1.170000E+00   +0.000000E+00
   +1.028009E-08   +1.230000E+00   +0.000000E+00
   +1.630634E-08   +1.291500E+00   +0.000000E+00
   +2.543435E-08   +1.354500E+00   +0.000000E+00
   +3.952516E-08   +1.419000E+00   +0.000000E+00
   +6.079430E-08   -1.182100E+01   +0.000000E+00
   +9.269802E-08   +1.552500E+00   +0.000000E+00
   +1.402877E-07   +1.621500E+00   +0.000000E+00
   +2.109190E-07   +1.692000E+00   +0.000000E+00
   +3.145175E-07   +1.764000E+00   +0.000000E+00
   +4.660601E-07   +1.837500E+00   +0.000000E+00
   +6.860185E-07   +1.912500E+00   +0.000000E+00
   +1.003549E-06   +1.989000E+00   +0.000000E+00
   +1.459241E-06   +2.067000E+00   +0.000000E+00
   +2.109633E-06   +2.146500E+00   +0.000000E+00
   +3.032803E-06   +2.227500E+00   +0.000000E+00
   +4.336778E-06   +2.310000E+00   +0.000000E+00
   +6.169381E-06   +2.394000E+00   +0.000000E+00
   +8.732756E-06   +2.479500E+00   +0.000000E+00
   +1.152079E-09   +3.942000E+00   +0.000000E+00
   +2.038293E-09   +4.051500E+00   +0.000000E+00
   +3.633479E-09   +4.162500E+00   +0.000000E+00
   +6.203500E-09   +4.275000E+00   +0.000000E+00
   +1.090044E-08   +4.389000E+00   +0.000000E+00
   +1.887637E-08   -1.617750E+01   +0.000000E+00
   +3.252407E-08   +4.621500E+00   +0.000000E+00
   +5.574288E-08   +4.740000E+00   +0.000000E+00
   +9.509080E-08   +4.860000E+00   +0.000000E+00
   +1.612910E-07   +4.981500E+00   +0.000000E+00
   +2.725995E-07   +5.104500E+00   +0.000000E+00
   +4.581728E-07   +5.229000E+00   +0.000000E+00
   +7.664868E-07   +5.355000E+00   +0.000000E+00
   +1.276414E-06   +5.482500E+00   +0.000000E+00
   +2.115748E-06   +5.611500E+00   +0.000000E+00
   +3.491241E-06   +5.742000E+00   +0.000000E+00
   +5.735668E-06   +5.874000E+00   +0.000000E+00
   +9.381819E-06   +6.007500E+00   +0.000000E+00
