            TIME           N1-T1           N1-T2           N1-T3           N1-R1           N1-R2           N1-R3           N2-T1           N2-T2           N2-T3           N2-R1           N2-R2           N2-R3           N3-T1           N3-T2           N3-T3           N3-R1           N3-R2           N3-R3           N4-T1           N4-T2           N4-T3           N4-R1           N4-R2           N4-R3           N5-T1           N5-T2           N5-T3           N5-R1           N5-R2           N5-R3           N6-T1           N6-T2           N6-T3           N6-R1           N6-R2           N6-R3           N7-T1           N7-T2           N7-T3           N7-R1           N7-R2           N7-R3           N8-T1           N8-T2           N8-T3           N8-R1           N8-R2           N8-R3           N9-T1           N9-T2           N9-T3           N9-R1           N9-R2           N9-R3          N10-T1          N10-T2          N10-T3          N10-R1          N10-R2          N10-R3          N11-T1          N11-T2          N11-T3          N11-R1          N11-R2          N11-R3
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0.05000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000 -4.11219250E-05      0.00785374      0.00000000      0.00000000      0.00000000      0.01570780     -0.00032896      0.03141302      0.00000000      0.00000000      0.00000000      0.03141560     -0.00111018      0.07067203      0.00000000      0.00000000      0.00000000      0.04712341     -0.00263132      0.12562108      0.00000000      0.00000000      0.00000000      0.06283121     -0.00513873      0.19624661      0.00000000      0.00000000      0.00000000      0.07853901     -0.00887852      0.28253121      0.00000000      0.00000000      0.00000000      0.09424681     -0.01409650      0.38445357      0.00000000      0.00000000      0.00000000      0.10995461     -0.02103811      0.50198856      0.00000000      0.00000000      0.00000000      0.12566241     -0.02994836      0.63510717      0.00000000      0.00000000      0.00000000      0.14137022     -0.04107180      0.78377656      0.00000000      0.00000000      0.00000000      0.15707802
      0.10000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00016447      0.01570603      0.00000000      0.00000000      0.00000000      0.03141463     -0.00131558      0.06280860      0.00000000      0.00000000      0.00000000      0.06282927     -0.00443898      0.14126125      0.00000000      0.00000000      0.00000000      0.09424390     -0.01051840      0.25098656      0.00000000      0.00000000      0.00000000      0.12565854     -0.02053463      0.39187624      0.00000000      0.00000000      0.00000000      0.15707317     -0.03546459      0.56379128      0.00000000      0.00000000      0.00000000      0.18848781     -0.05628034      0.76656201      0.00000000      0.00000000      0.00000000      0.21990244     -0.08394814      0.99998836      0.00000000      0.00000000      0.00000000      0.25131708     -0.11942749      1.26383997      0.00000000      0.00000000      0.00000000      0.28273171     -0.16367016      1.55785647      0.00000000      0.00000000      0.00000000      0.31414635
      0.15000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00036999      0.02355541      0.00000000      0.00000000      0.00000000      0.04711953     -0.00295901      0.09416934      0.00000000      0.00000000      0.00000000      0.09423906     -0.00998113      0.21168504      0.00000000      0.00000000      0.00000000      0.14135859     -0.02364062      0.37584165      0.00000000      0.00000000      0.00000000      0.18847812     -0.04612698      0.58627477      0.00000000      0.00000000      0.00000000      0.23559765     -0.07961015      0.84251726      0.00000000      0.00000000      0.00000000      0.28271719     -0.12623563      1.14400032      0.00000000      0.00000000      0.00000000      0.32983672     -0.18811976      1.49005469      0.00000000      0.00000000      0.00000000      0.37695625     -0.26734502      1.87991219      0.00000000      0.00000000      0.00000000      0.42407578     -0.36595536      2.31270741      0.00000000      0.00000000      0.00000000      0.47119531
      0.20000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00065761      0.03140043      0.00000000      0.00000000      0.00000000      0.06282152     -0.00525787      0.12547785      0.00000000      0.00000000      0.00000000      0.12564305     -0.01772788      0.28186109      0.00000000      0.00000000      0.00000000      0.18846457     -0.04196368      0.49993319      0.00000000      0.00000000      0.00000000      0.25128609     -0.08181491      0.77883379      0.00000000      0.00000000      0.00000000      0.31410761     -0.14106960      1.11746257      0.00000000      0.00000000      0.00000000      0.37692914     -0.22343920      1.51448355      0.00000000      0.00000000      0.00000000      0.43975066     -0.33254400      1.96833038      0.00000000      0.00000000      0.00000000      0.50257218     -0.47189881      2.47721254      0.00000000      0.00000000      0.00000000      0.56539370     -0.64489906      3.03912234      0.00000000      0.00000000      0.00000000      0.62821523
      0.25000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00102719      0.03923966      0.00000000      0.00000000      0.00000000      0.07851965     -0.00821022      0.15671683      0.00000000      0.00000000      0.00000000      0.15703929     -0.02766700      0.35170760      0.00000000      0.00000000      0.00000000      0.23555894     -0.06543979      0.62301041      0.00000000      0.00000000      0.00000000      0.31407858     -0.12745800      0.96895344      0.00000000      0.00000000      0.00000000      0.39259823     -0.21950163      1.38740494      0.00000000      0.00000000      0.00000000      0.47111788     -0.34716566      1.87578633      0.00000000      0.00000000      0.00000000      0.54963753     -0.51582558      2.43108812      0.00000000      0.00000000      0.00000000      0.62815717     -0.73060423      3.04988846      0.00000000      0.00000000      0.00000000      0.70667682     -0.99634030      3.72837420      0.00000000      0.00000000      0.00000000      0.78519647
      0.30000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00147859      0.04707164      0.00000000      0.00000000      0.00000000      0.09421294     -0.01181359      0.18786905      0.00000000      0.00000000      0.00000000      0.18842587     -0.03978283      0.42114344      0.00000000      0.00000000      0.00000000      0.28263881     -0.09400776      0.74482577      0.00000000      0.00000000      0.00000000      0.37685174     -0.18287694      1.15604513      0.00000000      0.00000000      0.00000000      0.47106468     -0.31447166      1.65115422      0.00000000      0.00000000      0.00000000      0.56527762     -0.49649425      2.22576165      0.00000000      0.00000000      0.00000000      0.65949055     -0.73619977      2.87477093      0.00000000      0.00000000      0.00000000      0.75370349     -1.04033168      3.59242568      0.00000000      0.00000000      0.00000000      0.84791642     -1.41506197      4.37236063      0.00000000      0.00000000      0.00000000      0.94212936
      0.35000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00201163      0.05489494      0.00000000      0.00000000      0.00000000      0.10990044     -0.01606493      0.21891741      0.00000000      0.00000000      0.00000000      0.21980087     -0.05405631      0.49008831      0.00000000      0.00000000      0.00000000      0.32970131     -0.12759330      0.86513571      0.00000000      0.00000000      0.00000000      0.43960174     -0.24785458      1.33953431      0.00000000      0.00000000      0.00000000      0.54950218     -0.42545502      1.90756003      0.00000000      0.00000000      0.00000000      0.65940261     -0.67031767      2.56235910      0.00000000      0.00000000      0.00000000      0.76930305     -0.99155397      3.29603075      0.00000000      0.00000000      0.00000000      0.87920348     -1.39735386      4.09972253      0.00000000      0.00000000      0.00000000      0.98910392     -1.89488692      4.96373713      0.00000000      0.00000000      0.00000000      1.09900435
      0.40000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00262607      0.06270813      0.00000000      0.00000000      0.00000000      0.12558119     -0.02096069      0.24984489      0.00000000      0.00000000      0.00000000      0.25116237     -0.07046502      0.55846288      0.00000000      0.00000000      0.00000000      0.37674356     -0.16610930      0.98370139      0.00000000      0.00000000      0.00000000      0.50232474     -0.32213703      1.51886295      0.00000000      0.00000000      0.00000000      0.62790593     -0.55184074      2.15551882      0.00000000      0.00000000      0.00000000      0.75348711     -0.86735251      2.88364170      0.00000000      0.00000000      0.00000000      0.87906830     -1.27945298      3.69176373      0.00000000      0.00000000      0.00000000      1.00464948     -1.79740152      4.56715705      0.00000000      0.00000000      0.00000000      1.13023067     -2.42879040      5.49603429      0.00000000      0.00000000      0.00000000      1.25581186
      0.45000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00332166      0.07050980      0.00000000      0.00000000      0.00000000      0.14125424     -0.02649676      0.28063466      0.00000000      0.00000000      0.00000000      0.28250847     -0.08898327      0.62618898      0.00000000      0.00000000      0.00000000      0.42376271     -0.20945608      1.10028946      0.00000000      0.00000000      0.00000000      0.56501695     -0.40543503      1.69349220      0.00000000      0.00000000      0.00000000      0.70627118     -0.69293590      2.39398084      0.00000000      0.00000000      0.00000000      0.84752542     -1.08615139      3.18780192      0.00000000      0.00000000      0.00000000      0.98877965     -1.59716841      4.05914283      0.00000000      0.00000000      0.00000000      1.13003389     -2.23572731      4.99064682      0.00000000      0.00000000      0.00000000      1.27128813     -3.00902786      5.96375868      0.00000000      0.00000000      0.00000000      1.41254236
