CL1,CD1,CM1
0.2785,0.75268,0.11585
0.39194,0.77108,0.24118
0.45974,0.83956,0.33865
0.52867,0.89355,0.42943
0.68934,0.97044,0.52286
0.732,1.0767,0.5784
0.76336,1.2089,0.63013
0.77258,1.3381,0.66915
0.82224,1.4874,0.71434
0.80972,1.6235,0.73064
0.74448,1.7569,0.73453
0.63506,1.8281,0.70833
0.52172,1.8924,0.68035
0.40621,1.9863,0.66538
0.31348,2.0561,0.64276
0.2239,2.1351,0.61979
0.13138,2.1811,0.5846
0.01846,2.162,0.53467
-0.0539,2.2356,0.50442
-0.12481,2.2679,0.46983
-0.17924,2.1484,0.39814
-0.2325,2.0745,0.34042
-0.26439,1.9289,0.26813
-0.25699,1.7907,0.20481
-0.24802,1.7411,0.16605
-0.24981,1.6683,0.12856
-0.20298,1.5682,0.08654
-0.12125,1.4927,0.05446
-0.02464,1.3756,0.0243
0.09727,1.2698,-0.00801
0.27825,1.1199,-0.06665
0.46241,0.97834,-0.11469
0.49435,0.97077,-0.09598
0.40862,0.98748,-0.05907
0.23476,1.0274,-0.02919
0.10367,1.0536,-0.01534
-0.11342,1.0801,0.01452
-0.1037,1.0536,0.0153
-0.2348,1.0274,0.0292
-0.4086,0.9875,0.0591
-0.4944,0.9708,0.096
-0.4624,0.9783,0.1147
-0.2782,1.1199,0.0666
-0.0973,1.2698,0.008
0.0246,1.3756,-0.0243
0.1212,1.4927,-0.0545
0.203,1.5682,-0.0865
0.2498,1.6683,-0.1286
0.248,1.7411,-0.166
0.257,1.7907,-0.2048
0.2644,1.9288,-0.2681
0.2325,2.0745,-0.3404
0.1792,2.1484,-0.3981
0.1248,2.2679,-0.4698
0.0539,2.2356,-0.5044
-0.0185,2.162,-0.5347
-0.1314,2.181,-0.5846
-0.2239,2.1351,-0.6198
-0.3135,2.0561,-0.6428
-0.4062,1.9863,-0.6654
-0.5217,1.8924,-0.6804
-0.6351,1.8281,-0.7083
-0.7445,1.7569,-0.7345
-0.8097,1.6235,-0.7306
-0.8222,1.4874,-0.7143
-0.7726,1.3381,-0.6692
-0.7634,1.2089,-0.6301
-0.732,1.0767,-0.5784
-0.6893,0.9704,-0.5229
-0.5287,0.8936,-0.4294
-0.4597,0.8396,-0.3386
-0.3919,0.7711,-0.2412
-0.2785,0.7527,-0.1158
