CL1,CD1,CM1
0.15751,0.71214,0.055
0.63932,0.58222,0.42752
0.81569,0.72281,0.64268
0.93351,0.87472,0.7921
0.98648,0.98848,0.88111
1.0773,1.1434,1.009
1.1121,1.2864,1.1121
1.1305,1.4729,1.1989
1.165,1.6728,1.2848
1.113,1.8171,1.3045
1.0348,2.0019,1.3478
0.90889,2.0928,1.3256
0.75781,2.1649,1.2957
0.62459,2.2592,1.2783
0.51804,2.3881,1.2658
0.40131,2.4919,1.2317
0.28326,2.5376,1.188
0.1822,2.5681,1.1509
0.07291,2.4709,1.023
-0.01983,2.4429,0.9262
-0.11573,2.3703,0.79762
-0.20359,2.1714,0.63285
-0.26296,2.1579,0.56038
-0.31641,2.1083,0.48163
-0.3458,2.0267,0.40568
-0.37376,1.9679,0.34196
-0.35081,1.8438,0.26279
-0.27906,1.7139,0.19434
-0.19256,1.5807,0.13555
-0.08478,1.4165,0.08528
0.02697,1.2603,0.03567
0.20772,1.0956,-0.04749
0.50363,0.87153,-0.20161
0.51622,0.79397,-0.15693
0.33058,0.8069,-0.06666
0.14297,0.71499,-0.02873
-0.05919,0.75409,-0.00827
-0.14297,0.71499,0.02873
-0.33058,0.8069,0.06666
-0.51622,0.79397,0.15693
-0.50363,0.87153,0.20161
-0.20772,1.0956,0.04749
-0.02697,1.2603,-0.03567
0.08478,1.4165,-0.08528
0.19256,1.5807,-0.13555
0.27906,1.7139,-0.19434
0.35081,1.8438,-0.26279
0.37376,1.9679,-0.34196
0.3458,2.0267,-0.40568
0.31641,2.1083,-0.48163
0.26296,2.1579,-0.56038
0.20359,2.1714,-0.63285
0.11573,2.3703,-0.79762
0.01983,2.4429,-0.9262
-0.07291,2.4709,-1.023
-0.1822,2.5681,-1.1509
-0.28326,2.5376,-1.188
-0.40131,2.4919,-1.2317
-0.51804,2.3881,-1.2658
-0.62459,2.2592,-1.2783
-0.75781,2.1649,-1.2957
-0.90889,2.0928,-1.3256
-1.0348,2.0019,-1.3478
-1.113,1.8171,-1.3045
-1.165,1.6728,-1.2848
-1.1305,1.4729,-1.1989
-1.1121,1.2864,-1.1121
-1.0773,1.1434,-1.009
-0.98648,0.98848,-0.88111
-0.93351,0.87472,-0.7921
-0.81569,0.72281,-0.64268
-0.63932,0.58222,-0.42752
-0.1575,0.7121,-0.055
