CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.31481,0.80003,0.15051,0.09653,0.88392,0.03631,-0.162,0.566,-0.155,-0.20175,0.82939,-0.23604
0.40937,0.79883,0.26543,0.27492,0.84395,0.20242,0.132,0.746,0.0281,0.06474,0.85271,-0.06441
0.50322,0.83522,0.3744,0.46293,0.82922,0.35403,0.338,0.819,0.178,0.32358,0.83303,0.11704
0.66298,0.87328,0.47386,0.63337,0.90926,0.48169,0.591,0.822,0.362,0.50328,0.86574,0.26783
0.8737,0.97628,0.56356,0.68137,1.0148,0.54683,0.738,0.862,0.494,0.59807,0.90386,0.38498
0.9192,1.12278,0.62235,0.81001,1.1405,0.62702,0.853,0.995,0.588,0.69599,0.98583,0.4882
0.94417,1.27029,0.66366,0.84549,1.2903,0.67325,0.939,1.13,0.681,0.85831,1.0873,0.60274
0.96046,1.45621,0.70562,0.83481,1.4314,0.71604,1.51,0.746,0.975,1.5056,0.84414,0.93263
0.90866,1.57929,0.71968,0.82503,1.594,0.76055,1.25,0.505,0.822,1.3156,0.63986,0.83496
0.83862,1.74049,0.71998,0.77561,1.6965,0.76404,1.21,0.568,0.719,1.1746,0.64297,0.69705
0.75664,1.83484,0.7034,0.71002,1.756,0.74157,1.29,1.06,0.825,1.3067,1.1086,0.79417
0.62688,1.83861,0.65596,0.59994,1.7737,0.70949,0.986,1.56,0.804,0.94447,1.6815,0.76916
0.52929,1.89229,0.62905,0.4866,1.7879,0.67251,0.874,1.94,0.823,0.72965,1.9659,0.74568
0.42332,1.97497,0.61366,0.38348,1.8775,0.66691,0.685,1.91,0.748,0.60297,2.0605,0.73559
0.31723,2.04465,0.59092,0.29938,1.9584,0.64304,0.597,1.96,0.72,0.50287,2.1349,0.71608
0.21034,2.05879,0.55058,0.22529,2.0119,0.60764,0.467,1.93,0.663,0.3627,2.171,0.67832
0.11915,2.15898,0.53141,0.12069,2.0127,0.56037,0.364,2.06,0.65,0.04297,2.1363,0.64988
0.0467,2.19442,0.49212,0.02859,2.105,0.53874,0.26,2.1,0.606,-0.16317,1.842,0.54237
-0.02075,2.31376,0.47556,-0.03107,2.1863,0.50977,0.165,2.14,0.563,-0.13755,1.6371,0.42256
-0.06692,2.23078,0.41004,-0.08846,2.1295,0.45037,0.0733,2.16,0.513,-0.15124,1.9744,0.45551
-0.10507,2.0437,0.32356,-0.11275,2.1183,0.39531,0.0106,2.13,0.456,-0.2063,2.2677,0.46794
-0.1282,2.04725,0.28305,-0.14046,2.0474,0.33645,-0.0706,2.17,0.415,-0.1488,2.2185,0.41619
-0.13167,2.01781,0.24243,-0.15694,2.0206,0.28701,-0.139,2.08,0.334,-0.17404,2.1756,0.35963
-0.14329,1.92289,0.19461,-0.16529,1.9316,0.2412,-0.175,2.01,0.275,-0.2381,2.187,0.32348
-0.28462,1.79542,0.16436,-0.18318,1.9402,0.21358,-0.199,1.9,0.222,-0.35749,2.0804,0.26435
-0.30865,1.38378,0.07643,-0.14518,1.7727,0.15599,-0.214,1.81,0.181,-0.49758,1.7925,0.19184
-0.2325,0.99817,0.01231,-0.11813,1.7208,0.12194,-0.21,1.79,0.15,-0.42148,1.4146,0.10478
0.0077,0.94597,-0.02796,-0.09004,1.5898,0.0878,-0.219,1.79,0.129,-0.21121,1.2503,0.04544
0.09488,1.23379,-0.02479,-0.04246,1.3759,0.05675,-0.167,1.54,0.0723,-0.13538,1.3974,0.03004
0.19984,1.28913,-0.01746,0.04138,1.2508,0.02304,-0.106,1.43,0.0436,-0.20447,1.6115,0.07041
0.37708,1.04702,-0.06589,0.15251,1.0868,-0.00611,-0.0211,1.28,0.0177,-0.17185,1.4965,0.05243
0.53192,0.92603,-0.11318,0.26373,0.957,-0.04242,0.116,1.12,-0.0213,-0.07653,1.309,0.00984
0.53631,0.8902,-0.08273,0.33408,0.89357,-0.06507,0.437,0.932,-0.14,0.17764,1.082,-0.06614
0.39983,0.94044,-0.04199,0.30878,0.86461,-0.0386,0.561,0.828,-0.127,0.3857,0.96522,-0.10096
0.18816,0.80209,-0.02543,0.22616,0.88841,-0.00976,0.493,0.861,-0.078,0.50218,0.92362,-0.07964
