CL1,CD1,CM1
0.479290,3.504700,0.075020
0.414620,3.517800,0.112880
0.335670,3.543200,0.142370
0.206490,3.444900,0.155880
0.111240,3.384900,0.170460
-0.009450,3.225100,0.177490
-0.164010,3.110500,0.164700
-0.270540,2.822700,0.153820
-0.383960,2.353900,0.074680
-0.618250,1.955700,-0.117900
-0.481510,1.924600,-0.035060
0.022310,1.769700,0.283790
0.517800,1.791000,0.663180
0.848060,1.780800,1.014800
1.144800,1.696200,1.333000
1.457200,1.728000,1.651900
1.498000,1.737900,1.724400
1.512300,1.771400,1.799900
1.502400,1.789600,1.751100
1.673900,1.735400,1.721200
2.261400,1.484200,1.463300
2.032500,1.521800,1.320500
1.971800,1.614100,1.239300
1.536000,1.740900,1.370500
1.117300,2.353100,1.666100
0.694030,2.709000,1.698700
0.515060,2.922400,1.730300
0.225580,2.893700,1.654400
-0.025910,3.085600,1.656900
-0.356670,3.027400,1.592400
-0.647780,2.776800,1.481700
-0.753930,2.737400,1.345900
-0.657750,2.343500,1.028400
-0.381930,2.377800,0.732200
-0.088220,2.391300,0.430380
0.181680,2.436000,0.153370
0.418870,2.411600,-0.156110
-0.181700,2.436000,-0.153400
0.088200,2.391300,-0.430400
0.381900,2.377800,-0.732200
0.657700,2.343500,-1.028400
0.753900,2.737400,-1.345900
0.647800,2.776800,-1.481700
0.356700,3.027400,-1.592400
0.025900,3.085600,-1.656900
-0.225600,2.893700,-1.654400
-0.515100,2.922400,-1.730300
-0.694000,2.709000,-1.698700
-1.117300,2.353100,-1.666100
-1.536000,1.740900,-1.370400
-1.971700,1.614100,-1.239300
-2.032500,1.521800,-1.320400
-2.261400,1.484200,-1.463300
-1.673900,1.735400,-1.721200
-1.502400,1.789600,-1.751100
-1.512300,1.771400,-1.799900
-1.498000,1.737900,-1.724400
-1.457200,1.728000,-1.651900
-1.144800,1.696200,-1.333000
-0.848100,1.780800,-1.014800
-0.517800,1.791000,-0.663200
-0.022300,1.769700,-0.283800
0.481500,1.924600,0.035100
0.618200,1.955700,0.117900
0.384000,2.353900,-0.074700
0.270500,2.822700,-0.153800
0.164000,3.110500,-0.164700
0.009500,3.225100,-0.177500
-0.111200,3.384900,-0.170500
-0.206500,3.444900,-0.155900
-0.335700,3.543200,-0.142400
-0.414600,3.517800,-0.112900
-0.479300,3.504700,-0.075000
