CL1,CD1,CM1
0.278500,0.752680,0.115850
0.391940,0.771080,0.241180
0.459740,0.839560,0.338650
0.528670,0.893550,0.429430
0.689340,0.970440,0.522860
0.732000,1.076700,0.578400
0.763360,1.208900,0.630130
0.772580,1.338100,0.669150
0.822240,1.487400,0.714340
0.809720,1.623500,0.730640
0.744480,1.756900,0.734530
0.635060,1.828100,0.708330
0.521720,1.892400,0.680350
0.406210,1.986300,0.665380
0.313480,2.056100,0.642760
0.223900,2.135100,0.619790
0.131380,2.181100,0.584600
0.018460,2.162000,0.534670
-0.053900,2.235600,0.504420
-0.124810,2.267900,0.469830
-0.179240,2.148400,0.398140
-0.232500,2.074500,0.340420
-0.264390,1.928900,0.268130
-0.256990,1.790700,0.204810
-0.248020,1.741100,0.166050
-0.249810,1.668300,0.128560
-0.202980,1.568200,0.086540
-0.121250,1.492700,0.054460
-0.024640,1.375600,0.024300
0.097270,1.269800,-0.008010
0.278250,1.119900,-0.066650
0.462410,0.978340,-0.114690
0.494350,0.970770,-0.095980
0.408620,0.987480,-0.059070
0.234760,1.027400,-0.029190
0.103670,1.053600,-0.015340
-0.113420,1.080100,0.014520
-0.103700,1.053600,0.015300
-0.234800,1.027400,0.029200
-0.408600,0.987500,0.059100
-0.494400,0.970800,0.096000
-0.462400,0.978300,0.114700
-0.278200,1.119900,0.066600
-0.097300,1.269800,0.008000
0.024600,1.375600,-0.024300
0.121200,1.492700,-0.054500
0.203000,1.568200,-0.086500
0.249800,1.668300,-0.128600
0.248000,1.741100,-0.166000
0.257000,1.790700,-0.204800
0.264400,1.928800,-0.268100
0.232500,2.074500,-0.340400
0.179200,2.148400,-0.398100
0.124800,2.267900,-0.469800
0.053900,2.235600,-0.504400
-0.018500,2.162000,-0.534700
-0.131400,2.181000,-0.584600
-0.223900,2.135100,-0.619800
-0.313500,2.056100,-0.642800
-0.406200,1.986300,-0.665400
-0.521700,1.892400,-0.680400
-0.635100,1.828100,-0.708300
-0.744500,1.756900,-0.734500
-0.809700,1.623500,-0.730600
-0.822200,1.487400,-0.714300
-0.772600,1.338100,-0.669200
-0.763400,1.208900,-0.630100
-0.732000,1.076700,-0.578400
-0.689300,0.970400,-0.522900
-0.528700,0.893600,-0.429400
-0.459700,0.839600,-0.338600
-0.391900,0.771100,-0.241200
-0.278500,0.752700,-0.115800
