CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.318560,0.803280,0.171300,0.118460,0.801140,0.048150,-0.104000,0.579000,-0.120000,-0.172140,0.777050,-0.217470
0.408490,0.802900,0.281120,0.319700,0.787040,0.222690,0.140000,0.755000,0.046700,0.102800,0.798050,-0.047030
0.503440,0.843810,0.392290,0.509020,0.792310,0.375120,0.394000,0.794000,0.219000,0.327630,0.779410,0.119380
0.679280,0.885960,0.489350,0.627580,0.881980,0.488870,0.599000,0.803000,0.388000,0.512520,0.844210,0.268630
0.843750,1.005700,0.571930,0.671400,0.985610,0.544590,0.775000,0.881000,0.527000,0.616470,0.891440,0.386890
0.904050,1.135320,0.635190,0.752010,1.118100,0.611120,0.835000,0.992000,0.600000,0.685310,0.959180,0.483490
0.880060,1.280160,0.659100,0.768840,1.246200,0.651410,0.941000,1.080000,0.701000,0.884290,1.058200,0.604370
0.894970,1.454330,0.702080,0.763810,1.384600,0.697760,1.570000,0.660000,0.995000,1.567500,0.715750,0.956580
0.846030,1.578310,0.715700,0.749780,1.522200,0.730910,1.260000,0.469000,0.792000,1.264000,0.582200,0.788920
0.752890,1.707880,0.704630,0.695150,1.611000,0.730450,1.300000,0.575000,0.745000,1.163700,0.600570,0.673430
0.670660,1.772160,0.679830,0.650990,1.688200,0.711770,1.300000,1.060000,0.813000,1.303700,1.073900,0.785460
0.585010,1.875190,0.667960,0.557130,1.763000,0.704360,1.030000,1.620000,0.823000,0.932070,1.674500,0.764860
0.480700,1.963360,0.653300,0.462250,1.791300,0.673800,0.838000,1.990000,0.836000,0.667160,1.929300,0.733230
0.370270,2.014430,0.626520,0.360140,1.824200,0.646040,0.645000,1.930000,0.746000,0.548910,1.965800,0.695060
0.182550,2.176780,0.581220,0.281580,1.938200,0.637150,0.474000,2.100000,0.709000,0.445230,2.083400,0.695380
0.103860,2.256040,0.553500,0.186220,2.011700,0.606380,0.288000,2.160000,0.673000,0.307080,2.175200,0.681970
0.023520,2.318310,0.516710,0.084950,1.992500,0.557140,0.198000,2.270000,0.646000,0.062060,2.132800,0.652050
-0.033300,2.363640,0.478320,0.003220,2.060100,0.532610,0.062000,2.270000,0.583000,-0.152830,1.695600,0.494720
-0.088760,2.258950,0.403640,-0.059730,2.107900,0.497220,0.006790,2.270000,0.526000,-0.090250,1.517200,0.377320
-0.128110,2.128480,0.331120,-0.094230,2.067400,0.438420,-0.044400,2.260000,0.471000,-0.127500,1.899200,0.430690
-0.140410,2.138590,0.291700,-0.127420,2.065000,0.391660,-0.112000,2.230000,0.407000,-0.179110,2.169100,0.456060
-0.137610,2.066960,0.236340,-0.143500,2.013400,0.321970,-0.167000,2.160000,0.335000,-0.171630,2.193200,0.411110
-0.174010,1.982310,0.196060,-0.169660,1.984300,0.274590,-0.203000,2.060000,0.267000,-0.210630,2.134800,0.350830
-0.298660,1.801060,0.149540,-0.173680,1.925700,0.234050,-0.230000,2.020000,0.228000,-0.228200,2.105400,0.304770
-0.239020,1.322430,0.043360,-0.166390,1.852600,0.191000,-0.242000,1.890000,0.178000,-0.360780,2.022300,0.252480
-0.131600,0.890700,-0.016640,-0.144860,1.750700,0.147900,-0.230000,1.790000,0.139000,-0.452810,1.739300,0.179490
0.122230,0.891510,-0.056230,-0.119930,1.692700,0.115680,-0.204000,1.690000,0.106000,-0.354900,1.381100,0.087140
0.184760,1.156080,-0.052690,-0.072340,1.497000,0.076070,-0.147000,1.520000,0.064500,-0.114470,1.177000,0.025250
0.289820,1.113380,-0.043860,-0.012500,1.327500,0.043320,-0.082100,1.370000,0.033300,-0.051990,1.377200,0.011290
0.456800,0.915080,-0.095100,0.099410,1.169000,0.003690,0.035200,1.250000,0.001180,-0.166870,1.563500,0.059420
0.558510,0.830760,-0.112430,0.213560,1.019500,-0.030590,0.175000,1.080000,-0.049900,-0.105560,1.432000,0.035390
0.515790,0.841220,-0.072790,0.317380,0.913500,-0.066020,0.472000,0.910000,-0.129000,0.020960,1.245900,-0.020200
0.373740,0.895390,-0.037310,0.349450,0.857030,-0.078180,0.527000,0.832000,-0.102000,0.282050,1.026500,-0.084070
0.223010,0.702660,-0.034910,0.314390,0.828830,-0.036880,0.439000,0.879000,-0.063000,0.474130,0.930300,-0.106240
0.077600,0.525570,-0.009120,0.171430,0.839290,-0.016680,0.392000,0.877000,-0.042000,0.508160,0.906830,-0.073420
0.039550,0.627890,0.020760,0.126690,0.856440,-0.004100,0.285000,0.909000,-0.033500,0.388830,0.914490,-0.051970
-0.077600,0.525600,0.009100,0.053530,0.858860,0.012440,-0.392200,0.877400,0.042000,0.344060,0.939890,-0.037910
-0.223000,0.702700,0.034900,-0.388800,0.914500,0.052000,-0.439300,0.878500,0.063000,-0.126700,0.856400,0.004100
-0.373700,0.895400,0.037300,-0.508200,0.906800,0.073400,-0.527400,0.832200,0.102300,-0.171400,0.839300,0.016700
-0.515800,0.841200,0.072800,-0.474100,0.930300,0.106200,-0.472100,0.910100,0.128800,-0.314400,0.828800,0.036900
-0.558500,0.830800,0.112400,-0.282100,1.026500,0.084100,-0.175300,1.082100,0.049900,-0.349400,0.857000,0.078200
-0.456800,0.915100,0.095100,-0.021000,1.245900,0.020200,-0.035200,1.248800,-0.001200,-0.317400,0.913500,0.066000
-0.289800,1.113400,0.043900,0.105600,1.432000,-0.035400,0.082100,1.373100,-0.033300,-0.213600,1.019500,0.030600
-0.184800,1.156100,0.052700,0.166900,1.563500,-0.059400,0.146900,1.516900,-0.064500,-0.099400,1.169000,-0.003700
-0.122200,0.891500,0.056200,0.052000,1.377200,-0.011300,0.204500,1.689200,-0.106100,0.012500,1.327500,-0.043300
0.131600,0.890700,0.016600,0.114500,1.176900,-0.025200,0.229700,1.792900,-0.139400,0.072300,1.497000,-0.076100
0.239000,1.322400,-0.043400,0.354900,1.381100,-0.087100,0.242000,1.890200,-0.178200,0.119900,1.692700,-0.115700
0.298700,1.801100,-0.149500,0.452800,1.739300,-0.179500,0.230200,2.023100,-0.227600,0.144900,1.750700,-0.147900
0.174000,1.982300,-0.196100,0.360800,2.022300,-0.252500,0.203100,2.058800,-0.266900,0.166400,1.852600,-0.191000
0.137600,2.067000,-0.236300,0.228200,2.105400,-0.304800,0.167500,2.159000,-0.335100,0.173700,1.925700,-0.234000
0.140400,2.138600,-0.291700,0.210600,2.134800,-0.350800,0.112100,2.227700,-0.407200,0.169700,1.984300,-0.274600
0.128100,2.128500,-0.331100,0.171600,2.193200,-0.411100,0.044400,2.263800,-0.470700,0.143500,2.013400,-0.322000
0.088800,2.259000,-0.403600,0.179100,2.169000,-0.456100,-0.006800,2.266200,-0.526000,0.127400,2.065000,-0.391700
0.033300,2.363600,-0.478300,0.127500,1.899200,-0.430700,-0.062000,2.268000,-0.583400,0.094200,2.067400,-0.438400
-0.023500,2.318300,-0.516700,0.090200,1.517200,-0.377300,-0.198000,2.271400,-0.646400,0.059700,2.107900,-0.497200
-0.103900,2.256000,-0.553500,0.152800,1.695600,-0.494700,-0.288400,2.162800,-0.672600,-0.003200,2.060100,-0.532600
-0.182500,2.176800,-0.581200,-0.062100,2.132800,-0.652000,-0.474000,2.098800,-0.708700,-0.084900,1.992500,-0.557100
-0.370300,2.014400,-0.626500,-0.307100,2.175200,-0.682000,-0.644700,1.932900,-0.746000,-0.186200,2.011700,-0.606400
-0.480700,1.963400,-0.653300,-0.445200,2.083400,-0.695400,-0.838200,1.987200,-0.836200,-0.281600,1.938200,-0.637100
-0.585000,1.875200,-0.668000,-0.548900,1.965800,-0.695100,-1.025200,1.616900,-0.823500,-0.360100,1.824200,-0.646000
-0.670700,1.772200,-0.679800,-0.667200,1.929300,-0.733200,-1.299300,1.063100,-0.813200,-0.462300,1.791300,-0.673800
-0.752900,1.707900,-0.704600,-0.932100,1.674500,-0.764900,-1.297400,0.575000,-0.745300,-0.557100,1.763000,-0.704400
-0.846000,1.578300,-0.715700,-1.303600,1.073900,-0.785500,-1.255200,0.468900,-0.792300,-0.651000,1.688200,-0.711800
-0.895000,1.454300,-0.702100,-1.163700,0.600600,-0.673400,-1.568100,0.659500,-0.995200,-0.695200,1.611000,-0.730500
-0.880100,1.280200,-0.659100,-1.264000,0.582200,-0.788900,-0.940800,1.081900,-0.700800,-0.749800,1.522200,-0.730900
-0.904000,1.135300,-0.635200,-1.567500,0.715800,-0.956600,-0.834800,0.992100,-0.599800,-0.763800,1.384600,-0.697800
-0.843800,1.005700,-0.571900,-0.884300,1.058200,-0.604400,-0.775400,0.880800,-0.527300,-0.768800,1.246200,-0.651400
-0.679300,0.886000,-0.489300,-0.685300,0.959200,-0.483500,-0.598900,0.803300,-0.387600,-0.752000,1.118100,-0.611100
-0.503400,0.843800,-0.392300,-0.616500,0.891400,-0.386900,-0.394200,0.794200,-0.218800,-0.671400,0.985600,-0.544600
-0.408500,0.802900,-0.281100,-0.512500,0.844200,-0.268600,-0.140400,0.755100,-0.046700,-0.627600,0.882000,-0.488900
-0.318600,0.803300,-0.171300,-0.327600,0.779400,-0.119400,0.104300,0.579300,0.120200,-0.509000,0.792300,-0.375100
-0.064700,0.852700,0.064400,-0.102800,0.798100,0.047000,-0.319700,0.787000,-0.222700,-0.319700,0.787000,-0.222700
0.201800,0.829400,0.236000,0.172100,0.777000,0.217500,-0.118500,0.801100,-0.048100,-0.118500,0.801100,-0.048100
