CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.430480,0.574470,0.368130,0.586970,0.567340,0.476090,-0.883590,0.611790,-1.049600,-0.387760,0.667720,-0.452410
1.629400,0.402900,1.458500,1.560700,0.420220,1.370400,-0.377150,0.645100,-0.464060,0.331710,0.603740,0.299190
1.797600,0.592880,1.760000,1.711000,0.589060,1.669900,0.256730,0.708290,0.224900,1.253000,0.494620,1.246500
1.355500,0.952310,1.416000,1.671200,0.821830,1.741900,1.237200,0.488600,1.201500,2.103400,0.434570,2.237100
1.329300,1.148100,1.479300,1.421200,1.052000,1.562300,1.990400,0.476840,2.065400,1.588100,0.894980,1.725700
1.456000,1.367300,1.669600,1.496000,1.279700,1.694000,1.328800,0.954530,1.479700,1.547000,1.175500,1.757700
1.576100,1.622300,1.853700,1.510800,1.526200,1.767600,1.763900,1.123100,1.956000,1.710300,1.460300,2.008600
1.622700,1.913800,2.025400,1.572900,1.835200,1.912000,2.561300,0.655100,2.825800,2.023400,1.256900,2.388300
1.586400,2.136500,2.103200,1.565400,2.151200,2.015100,1.840500,0.624570,2.047200,1.505800,0.993210,1.851900
1.445900,2.282700,2.095800,1.519700,2.458700,2.137500,1.487200,0.802980,1.621500,1.333900,1.019200,1.577000
1.314900,2.465100,2.095200,1.373500,2.609600,2.117400,1.594400,1.305500,1.876700,1.404500,1.605100,1.866200
1.190100,2.653500,2.096000,1.236900,2.840300,2.143000,1.490500,1.891700,2.044300,1.341900,2.213000,2.109100
1.012200,2.825000,2.092700,1.067500,2.998200,2.116400,1.352800,2.472000,2.205000,1.244700,2.688400,2.240300
0.805290,2.906200,2.029300,0.854730,3.008700,2.026400,1.181400,2.923000,2.289400,1.150200,3.042800,2.320700
0.624760,3.039200,2.007600,0.655110,3.156700,2.007400,0.952090,2.980900,2.213800,0.906810,3.113000,2.237500
0.440420,3.220700,1.999100,0.483610,3.325200,1.983900,0.756260,3.069800,2.150400,0.503440,3.221500,2.212800
0.226300,3.151000,1.834600,0.256470,3.375900,1.918200,0.540150,3.106500,2.052000,0.133220,2.848400,1.921700
0.036910,3.191300,1.741000,0.045720,3.468700,1.867900,0.346780,3.247300,2.018500,-0.120480,2.188500,1.454300
-0.167890,3.273300,1.679000,-0.146200,3.505900,1.780800,0.152360,3.401800,1.985400,-0.051910,1.976300,1.140600
-0.327770,3.158700,1.508500,-0.330650,3.437200,1.645500,-0.040770,3.348000,1.836900,-0.135930,2.571800,1.337300
-0.488130,3.004500,1.332300,-0.492650,3.307100,1.481500,-0.223510,3.432900,1.765700,-0.310330,3.130700,1.561800
-0.597110,2.906100,1.191100,-0.623060,3.125600,1.299200,-0.374140,3.145600,1.498100,-0.441870,3.358800,1.547200
-0.762120,3.057200,1.198500,-0.728540,2.978000,1.146900,-0.518550,3.070500,1.358900,-0.563360,3.172200,1.355300
-0.969910,3.000800,1.136700,-0.799260,2.813300,0.999020,-0.668900,3.045900,1.262300,-0.736520,3.100100,1.256400
-1.103800,2.520200,0.890820,-0.796240,2.521300,0.795120,-0.778300,2.926600,1.117400,-0.903060,2.670600,1.030100
-1.120000,2.047300,0.688150,-0.833890,2.483600,0.709260,-0.884530,2.866800,1.012600,-0.982290,2.270700,0.835120
-0.955200,1.457500,0.469990,-0.764810,2.198800,0.551090,-0.918710,2.667300,0.858510,-0.875820,1.698800,0.603580
-0.613880,1.163600,0.292800,-0.692170,1.968900,0.430180,-0.893050,2.393000,0.689030,-0.609950,1.472200,0.434260
-0.555290,1.511100,0.277900,-0.539930,1.678500,0.284830,-0.836130,2.182900,0.556540,-0.544700,1.688100,0.394870
-0.586000,1.671200,0.316290,-0.355070,1.401200,0.162850,-0.771820,1.979300,0.442080,-0.591740,1.864300,0.427230
-0.334630,1.428000,0.174410,-0.194670,1.217900,0.078330,-0.687540,1.783400,0.331170,-0.444490,1.663000,0.300680
-0.059550,1.147500,0.042530,0.028380,1.045600,-0.040610,-0.487000,1.514900,0.213800,-0.238530,1.391400,0.163850
0.493500,0.873990,-0.242060,0.428650,0.831810,-0.262870,-0.278260,1.332500,0.115400,0.000395,1.183700,0.033390
0.671020,0.763470,-0.257520,0.591280,0.731570,-0.261820,-0.000122,1.133900,-0.009210,0.454450,0.904160,-0.203870
0.200320,0.689720,-0.071850,0.372470,0.704920,-0.113880,0.431680,0.867960,-0.226370,0.483960,0.792950,-0.153970
-0.054160,0.418430,-0.043070,0.056890,0.665770,-0.018830,0.578360,0.731180,-0.225480,0.262590,0.699650,-0.034410
0.008700,0.407800,0.103160,-0.188390,0.654030,0.047950,0.570850,0.693330,-0.133390,0.105380,0.626260,0.008010
0.054200,0.418400,0.043100,-0.263000,0.699600,0.034400,-0.578000,0.731200,0.226000,-0.056900,0.665800,0.018800
-0.200300,0.689700,0.071800,-0.484000,0.792900,0.154000,-0.432000,0.868000,0.226000,-0.372500,0.704900,0.113900
-0.671000,0.763500,0.257500,-0.454000,0.904200,0.204000,0.000100,1.133900,0.009200,-0.591300,0.731600,0.261800
-0.493500,0.874000,0.242100,-0.000400,1.183700,-0.033400,0.278000,1.332500,-0.115000,-0.428700,0.831800,0.262900
0.059500,1.147500,-0.042500,0.239000,1.391400,-0.164000,0.487000,1.514900,-0.214000,-0.028400,1.045600,0.040600
0.334600,1.428000,-0.174400,0.445000,1.663000,-0.301000,0.688000,1.783400,-0.331000,0.194700,1.217900,-0.078300
0.586000,1.671200,-0.316300,0.592000,1.864300,-0.427000,0.772000,1.979200,-0.442000,0.355100,1.401200,-0.162900
0.555300,1.511100,-0.277900,0.545000,1.688100,-0.395000,0.836000,2.182900,-0.557000,0.539900,1.678500,-0.284800
0.613900,1.163600,-0.292800,0.610000,1.472200,-0.434000,0.893000,2.392900,-0.689000,0.692200,1.968900,-0.430200
0.955200,1.457500,-0.470000,0.876000,1.698800,-0.604000,0.919000,2.667300,-0.859000,0.764800,2.198800,-0.551100
1.120000,2.047300,-0.688100,0.982000,2.270700,-0.835000,0.885000,2.866800,-1.010000,0.833900,2.483600,-0.709300
1.103800,2.520200,-0.890800,0.903000,2.670600,-1.030000,0.778000,2.926600,-1.120000,0.796200,2.521300,-0.795100
0.969900,3.000800,-1.136700,0.737000,3.100100,-1.260000,0.669000,3.045900,-1.260000,0.799300,2.813300,-0.999000
0.762100,3.057200,-1.198500,0.563000,3.172100,-1.360000,0.519000,3.070500,-1.360000,0.728500,2.978000,-1.146900
0.597100,2.906100,-1.191100,0.442000,3.358800,-1.550000,0.374000,3.145600,-1.500000,0.623100,3.125600,-1.299200
0.488100,3.004500,-1.332300,0.310000,3.130700,-1.560000,0.224000,3.432900,-1.770000,0.492600,3.307100,-1.481500
0.327800,3.158700,-1.508500,0.136000,2.571800,-1.340000,0.040800,3.348000,-1.840000,0.330600,3.437200,-1.645500
0.167900,3.273300,-1.679000,0.051900,1.976300,-1.140000,-0.152000,3.401800,-1.990000,0.146200,3.505900,-1.780800
-0.036900,3.191300,-1.741000,0.121000,2.188500,-1.450000,-0.347000,3.247300,-2.020000,-0.045700,3.468700,-1.867900
-0.226300,3.151000,-1.834600,-0.133000,2.848400,-1.920000,-0.540000,3.106500,-2.050000,-0.256500,3.375800,-1.918200
-0.440400,3.220700,-1.999100,-0.503000,3.221500,-2.210000,-0.756000,3.069800,-2.150000,-0.483600,3.325200,-1.983900
-0.624800,3.039200,-2.007600,-0.907000,3.113000,-2.240000,-0.952000,2.980900,-2.210000,-0.655100,3.156700,-2.007400
-0.805300,2.906200,-2.029300,-1.150000,3.042800,-2.320000,-1.180000,2.923000,-2.290000,-0.854700,3.008700,-2.026400
-1.012200,2.825000,-2.092600,-1.240000,2.688400,-2.240000,-1.350000,2.472000,-2.210000,-1.067500,2.998200,-2.116400
-1.190100,2.653500,-2.096000,-1.340000,2.213000,-2.110000,-1.490000,1.891700,-2.040000,-1.236900,2.840300,-2.143000
-1.314900,2.465100,-2.095200,-1.400000,1.605100,-1.870000,-1.590000,1.305500,-1.880000,-1.373500,2.609600,-2.117400
-1.445900,2.282700,-2.095800,-1.330000,1.019200,-1.580000,-1.490000,0.803000,-1.620000,-1.519600,2.458700,-2.137500
