# id,category,name,E(Pa),poisson,density(kg/m3),maxStress(Pa),expansion(1/K)
1,导线,LGJ-300/40,7.30e10,0.30,3342,2.58e8,1.96e-5
2,导线,LGJ-400/50,6.90e10,0.30,3261,2.24e8,1.95e-5
3,导线,JL1/G3A-1250/70,6.30e10,0.30,2853,1.37e8,2.09e-5
4,导线,JL1/G2A-1250/100,6.50e10,0.30,2938,1.54e8,2.07e-5
5,导线,JL/G3A-900/40,6.30e10,0.30,2775,1.19e8,2.10e-5
6,地线,JLB20A-240,9.80e10,0.30,5340,3.10e8,1.60e-5
7,地线,JLB20A-185,1.00e11,0.30,5360,3.20e8,1.60e-5
8,地线,OPGW-150,1.10e11,0.30,4500,3.50e8,1.55e-5
9,结构钢,Q235,2.06e11,0.30,7850,2.35e8,1.20e-5
10,结构钢,Q345,2.06e11,0.30,7850,3.45e8,1.20e-5
